Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
02-JAN-2023,14.8675,15.4525,14.5675,14.685,14.8675,-0.18,-1.23
03-JAN-2023,14.685,14.99,14.305,14.385,14.685,-0.30,-2.04
04-JAN-2023,14.385,15.6825,14.33,15.1975,14.385,0.81,5.65
05-JAN-2023,15.1975,15.6,14.8125,14.9825,15.1975,-0.21,-1.41
06-JAN-2023,14.9825,15.4375,14.6225,15.025,14.9825,0.04,0.28
09-JAN-2023,15.025,15.3775,14.53,14.6525,15.025,-0.37,-2.48
10-JAN-2023,14.6525,15.935,14.5625,15.51,14.6525,0.86,5.85
11-JAN-2023,15.51,16.225,15.115,15.435,15.51,-0.07,-0.48
12-JAN-2023,15.435,16.0425,14.4175,15.275,15.435,-0.16,-1.04
13-JAN-2023,15.275,15.6025,14.395,14.46,15.275,-0.81,-5.34
16-JAN-2023,14.46,15.3625,14.46,15.0225,14.46,0.56,3.89
17-JAN-2023,15.0225,15.31,13.84,14.59,15.0225,-0.43,-2.88
18-JAN-2023,14.59,14.75,12.4725,14.3725,14.59,-0.22,-1.49
19-JAN-2023,14.3725,14.8325,13.8925,13.96,14.3725,-0.41,-2.87
20-JAN-2023,13.96,14.185,11.6425,13.7875,13.96,-0.17,-1.24
23-JAN-2023,13.7875,14.26,13.48,13.6175,13.7875,-0.17,-1.23
24-JAN-2023,13.6175,13.81,13.3,13.6575,13.6175,0.04,0.29
25-JAN-2023,13.6575,15.4225,13.5175,14.655,13.6575,1.00,7.30
27-JAN-2023,14.655,18.0125,14.5825,17.32,14.655,2.67,18.18
30-JAN-2023,17.32,19.39,17.29,17.71,17.32,0.39,2.25
31-JAN-2023,17.71,18.3675,16.565,16.875,17.71,-0.84,-4.71
01-FEB-2023,16.875,18.54,14.8475,16.78,16.875,-0.09,-0.56
02-FEB-2023,16.78,17.7675,15.5075,15.7325,16.78,-1.05,-6.24
03-FEB-2023,15.7325,15.7575,14.27,14.3975,15.7325,-1.33,-8.49
06-FEB-2023,14.3975,15.205,14.185,14.6875,14.3975,0.29,2.01
07-FEB-2023,14.6875,14.875,13.665,14.125,14.6875,-0.56,-3.83
08-FEB-2023,14.125,14.2475,13.535,13.595,14.125,-0.53,-3.75
09-FEB-2023,13.595,13.815,12.0625,13.04,13.595,-0.56,-4.08
10-FEB-2023,13.04,13.2775,12.2075,12.745,13.04,-0.29,-2.26
13-FEB-2023,12.745,14.095,11.83,13.68,12.745,0.94,7.34
14-FEB-2023,13.68,13.68,12.4525,13.4525,13.68,-0.23,-1.66
15-FEB-2023,13.4525,13.4525,11.28,12.86,13.4525,-0.59,-4.40
16-FEB-2023,12.86,13.1625,10.1725,12.89,12.86,0.03,0.23
17-FEB-2023,12.89,13.52,10.8025,13.085,12.89,0.20,1.51
20-FEB-2023,13.085,13.7075,10.9225,13.3825,13.085,0.30,2.27
21-FEB-2023,13.3825,14.295,13.3825,14.0075,13.3825,0.63,4.67
22-FEB-2023,14.0075,15.915,12.3775,15.5875,14.0075,1.58,11.28
23-FEB-2023,15.5875,16.01,14.5175,15.075,15.5875,-0.51,-3.29
24-FEB-2023,15.075,15.1425,14.0075,14.185,15.075,-0.89,-5.90
27-FEB-2023,14.185,15.0975,13.75,13.875,14.185,-0.31,-2.19
28-FEB-2023,13.875,14.5675,13.5,14.02,13.875,0.14,1.05
01-MAR-2023,14.02,14.02,12.275,12.995,14.02,-1.03,-7.31
02-MAR-2023,12.995,13.55,11.1,12.97,12.995,-0.02,-0.19
03-MAR-2023,12.97,12.97,11.98,12.18,12.97,-0.79,-6.09
06-MAR-2023,12.18,12.4725,11.8375,12.2675,12.18,0.09,0.72
08-MAR-2023,12.2675,12.8475,11.8975,12.45,12.2675,0.18,1.49
09-MAR-2023,12.45,12.8425,11.78,12.725,12.45,0.28,2.21
10-MAR-2023,12.725,13.8175,12.725,13.4125,12.725,0.69,5.40
13-MAR-2023,13.4125,16.4275,13.4125,16.215,13.4125,2.80,20.89
14-MAR-2023,16.215,16.6425,15.0025,16.2175,16.215,0.00,0.02
15-MAR-2023,16.2175,16.505,14.5175,16.295,16.2175,0.08,0.48
16-MAR-2023,16.295,17.355,13.95,16.2175,16.295,-0.08,-0.48
17-MAR-2023,16.2175,16.2175,14.6,14.7675,16.2175,-1.45,-8.94
20-MAR-2023,14.7675,17.22,14.52,16.0075,14.7675,1.24,8.40
21-MAR-2023,16.0075,16.035,14.0825,15.0825,16.0075,-0.93,-5.78
22-MAR-2023,15.0825,15.0925,14.2425,14.8075,15.0825,-0.28,-1.82
23-MAR-2023,14.8075,15.0575,13.9025,14.49,14.8075,-0.32,-2.14
24-MAR-2023,14.49,15.43,14.2025,15.24,14.49,0.75,5.18
27-MAR-2023,15.24,16.0925,15.0975,15.445,15.24,0.21,1.35
28-MAR-2023,15.445,15.6075,14.865,15.1,15.445,-0.35,-2.23
29-MAR-2023,15.1,15.1,13.32,13.6275,15.1,-1.47,-9.75
31-MAR-2023,13.6275,13.6275,12.0725,12.935,13.6275,-0.69,-5.08
03-APR-2023,12.935,13.49,12.465,12.585,12.935,-0.35,-2.71
05-APR-2023,12.585,12.805,12.0525,12.4125,12.585,-0.17,-1.37
06-APR-2023,12.4125,12.57,11.65,11.7975,12.4125,-0.62,-4.95
10-APR-2023,11.7975,12.5625,11.7975,12.2725,11.7975,0.48,4.03
11-APR-2023,12.2725,12.2725,11.665,11.975,12.2725,-0.30,-2.42
12-APR-2023,11.975,12.395,11.975,12.2725,11.975,0.30,2.48
13-APR-2023,12.2725,12.51,11.84,11.9075,12.2725,-0.37,-2.97
17-APR-2023,11.9075,13.2725,11.9075,12.265,11.9075,0.36,3.00
18-APR-2023,12.265,12.525,11.8625,12.075,12.265,-0.19,-1.55
19-APR-2023,12.075,12.47,11.1075,12.1525,12.075,0.08,0.64
20-APR-2023,12.1525,12.3975,11.58,11.94,12.1525,-0.21,-1.75
21-APR-2023,11.94,12.04,11.52,11.63,11.94,-0.31,-2.60
24-APR-2023,11.63,12.205,11.58,11.6675,11.63,0.04,0.32
25-APR-2023,11.6675,11.8125,11.425,11.52,11.6675,-0.15,-1.26
26-APR-2023,11.52,11.8975,11.2975,11.6525,11.52,0.13,1.15
27-APR-2023,11.6525,12.02,10.96,11.425,11.6525,-0.23,-1.95
28-APR-2023,11.425,11.5425,10.7875,10.9475,11.425,-0.48,-4.18
02-MAY-2023,10.9475,12.0625,10.9475,11.8975,10.9475,0.95,8.68
03-MAY-2023,11.8975,12.25,11.13,11.84,11.8975,-0.06,-0.48
04-MAY-2023,11.84,12.03,11.185,11.7325,11.84,-0.11,-0.91
05-MAY-2023,11.7325,12.375,11.53,12.295,11.7325,0.56,4.79
08-MAY-2023,12.295,12.91,11.7225,12.635,12.295,0.34,2.77
09-MAY-2023,12.635,12.815,11.6575,12.6775,12.635,0.04,0.34
10-MAY-2023,12.6775,13.2975,11.5425,13.0825,12.6775,0.40,3.19
11-MAY-2023,13.0825,13.74,12.815,13.215,13.0825,0.13,1.01
12-MAY-2023,13.215,13.51,12.7375,12.8525,13.215,-0.36,-2.74
15-MAY-2023,12.8525,13.615,12.5375,13.1725,12.8525,0.32,2.49
16-MAY-2023,13.1725,13.485,11.71,13.2925,13.1725,0.12,0.91
17-MAY-2023,13.2925,13.58,11.895,13.105,13.2925,-0.19,-1.41
18-MAY-2023,13.105,13.105,11.1375,12.795,13.105,-0.31,-2.37
19-MAY-2023,12.795,12.82,11.6875,12.3025,12.795,-0.49,-3.85
22-MAY-2023,12.3025,12.82,11.555,12.57,12.3025,0.27,2.17
23-MAY-2023,12.57,13.075,12.3175,12.605,12.57,0.04,0.28
24-MAY-2023,12.605,13.4375,12.41,13.1125,12.605,0.51,4.03
25-MAY-2023,13.1125,13.1325,8.1825,12.52,13.1125,-0.59,-4.52
26-MAY-2023,12.52,12.8575,11.7,11.9,12.52,-0.62,-4.95
29-MAY-2023,11.9,12.4925,8.8075,12.2975,11.9,0.40,3.34
30-MAY-2023,12.2975,12.38,11.7675,12.01,12.2975,-0.29,-2.34
31-MAY-2023,12.01,12.4675,11.58,11.9725,12.01,-0.04,-0.31
01-JUN-2023,11.9725,11.9725,11.22,11.5975,11.9725,-0.38,-3.13
02-JUN-2023,11.5975,11.735,10.86,11.125,11.5975,-0.47,-4.07
05-JUN-2023,11.125,11.335,10.3225,11.1375,11.125,0.01,0.11
06-JUN-2023,11.1375,11.6175,10.465,11.38,11.1375,0.24,2.18
07-JUN-2023,11.38,11.5375,9.6375,11.4425,11.38,0.06,0.55
08-JUN-2023,11.4425,11.5675,10.13,11.2575,11.4425,-0.19,-1.62
09-JUN-2023,11.2575,11.2975,10.3075,11.12,11.2575,-0.14,-1.22
12-JUN-2023,11.12,11.8025,10.5825,11.245,11.12,0.13,1.12
13-JUN-2023,11.245,11.25,9.99,11.11,11.245,-0.13,-1.20
14-JUN-2023,11.11,11.3675,10.6325,11.1625,11.11,0.05,0.47
15-JUN-2023,11.1625,11.37,9.6925,11.08,11.1625,-0.08,-0.74
16-JUN-2023,11.08,11.08,10.5575,10.84,11.08,-0.24,-2.17
19-JUN-2023,10.84,11.4975,10.33,11.225,10.84,0.38,3.55
20-JUN-2023,11.225,11.4375,10.5675,11.1325,11.225,-0.09,-0.82
21-JUN-2023,11.1325,11.4325,10.77,11.2925,11.1325,0.16,1.44
22-JUN-2023,11.2925,11.7125,10.6925,11.5475,11.2925,0.25,2.26
23-JUN-2023,11.5475,11.8375,11.1425,11.235,11.5475,-0.31,-2.71
26-JUN-2023,11.235,11.925,11.235,11.395,11.235,0.16,1.42
27-JUN-2023,11.395,11.4225,10.6925,10.7775,11.395,-0.62,-5.42
28-JUN-2023,10.7775,11.535,10.6525,10.8875,10.7775,0.11,1.02
30-JUN-2023,10.8875,11.215,10.07,10.8,10.8875,-0.09,-0.80